US10687,34348531,"UXD Tasks - Sprint 0",COMPLETED,0,Sprint 00
US10616,34303734,"As an admin user, I can specify comparable/related products to any given product (many to many relationship)",COMPLETED,0,Sprint 01
US10617,34303876,"As an admin user, I can create/read/update/delete a product record and its attributes",COMPLETED,0,Sprint 01
US10619,34303995,"As an admin user, I can clone a record to make a new product entry based off of a similar product.",COMPLETED,0,Sprint 01
US10623,34305113,"As an admin user, I can view and configure system settings (Application settings)",COMPLETED,0,Sprint 01
US10663,34321490,"UXD Tasks - Sprint 1",COMPLETED,0,Sprint 01
US10700,34364643,"As a user I can see a home page that features large options to start a report (and see information/preview what the report offers)",COMPLETED,0,Sprint 01
US10742,34459203,"As a developer, I can load data in less than 4 hours so that staged data can be imported into the tool during development of the tool.",COMPLETED,0,Sprint 01
US10789,34485245,"Dev Tasks - Sprint 1",COMPLETED,0,Sprint 01
US10591,34294314,"As a user, when selecting a product, I am presented with competitor and comparable products as suggestions to be added in the report",COMPLETED,0,Sprint 02
US10615,34303640,"As an admin user, I can specify competitor products for any given product (many to many relationship)",COMPLETED,0,Sprint 02
US10631,34305849,"As a user, I can show/hide groups of attributes (collapse)",COMPLETED,0,Sprint 02
US10634,34306020,"As a user, I see the selected attributes grouped in their respective categories for ease of understanding",COMPLETED,0,Sprint 02
US10635,34306158,"As a user, I can remove a selected product from my report, as well as add a new one (without going back)",COMPLETED,0,Sprint 02
US10636,34306416,"As a user, I can add/remove attributes which were not configured in the Attribute Selection process (without going back)",COMPLETED,0,Sprint 02
US10658,34317651,"As a user, I can select attributes using checkboxes that will be displayed on the interactive report",COMPLETED,0,Sprint 02
US10681,34341568,"As a user, I can display the source information for each product attribute value.",COMPLETED,0,Sprint 02
US10737,34454910,"As a user, I can view the Product Overview in the interactive report.",COMPLETED,0,Sprint 02
US10738,34455076,"As a user, I can view the Product/Competitor Comparison in the interactive report.",COMPLETED,0,Sprint 02
US10828,34564969,"Dev Tasks - Sprint 2",COMPLETED,0,Sprint 02
